ID,class
1111,Cutey
1112,Chell
1113,Shea
1114,Hayes
1115,Neal
1116,Agresti
1117,Brown
1118,McKee
1119,Sherwin
1120,Walters
1121,Bukowsky
1122,Ashbacher
1123,Walters
1124,Shea
1125,Vernon
1126,Chell
1127,Chachra
1128,Lovitt
1129,Johnson
1130,Messick
1131,Blankenship
1132,Mahlers2nd
1133,Chachra
1134,Vision
1135,Mahlers2nd
1136,McKee
1137,Mitchell
1138,Koenig
1139,Sherwin
1140,Chachra
1141,Merritt
1142,Goonan
1143,Mark
1144,Walters
1145,Harp
1146,Vision
1147,Koenig
1148,Mitchell
1149,Davisson
1150,Merritt
1151,Blankenship
1152,Neal
1153,Peterson
1154,Messick
1155,Shea
1156,Sherwin
1157,Walters
1158,Chandler
1159,Lawyeraau
1160,Chandler
1161,Brown
1162,Calvinnme
1163,McKee
1164,Neal
1165,Johnson
1166,Hayes
1167,Johnson
1168,Goonan
1169,Bukowsky
1170,Davisson
1171,Merritt
1172,Agresti
1173,McKee
1174,Chell
1175,Power
1176,Davisson
1177,Kolln
1178,Walters
1179,Ashbacher
1180,Lawyeraau
1181,Taylor
1182,Mitchell
1183,Riley
1184,Janson
1185,McKee
1186,Lovitt
1187,Morrison
1188,Auken
1189,Chandler
1190,Agresti
1191,Engineer
1192,CFH
1193,Morrison
1194,Vernon
1195,Goonan
1196,Hayes
1197,Lovitt
1198,Davisson
1199,Nigam
1200,Shea
1201,Chachra
1202,Mitchell
1203,Harp
1204,Messick
1205,McKee
1206,Cutey
1207,Koenig
1208,Ashbacher
1209,Kolln
1210,Agresti
1211,Wilson
1212,Cholette
1213,Cutey
1214,Vernon
1215,Brown
1216,Vernon
1217,Mitchell
1218,Agresti
1219,Peterson
1220,Riley
1221,Agresti
1222,Davisson
1223,Merritt
1224,Ashbacher
1225,Lee
1226,Power
1227,Power
1228,Brody
1229,Ashbacher
1230,Koenig
1231,Power
1232,Sherwin
1233,Brown
1234,Riley
1235,Davisson
1236,Sherwin
1237,Lawyeraau
1238,Power
1239,Engineer
1240,Cholette
1241,Riley
1242,Chell
1243,Mahlers2nd
1244,Mahlers2nd
1245,McKee
1246,Chachra
1247,Vernon
1248,Goonan
1249,Taylor
1250,Hayes
1251,Wilson
1252,Chandler
1253,Johnson
1254,Brown
1255,McKee
1256,Sherwin
1257,Goonan
1258,Shea
1259,Calvinnme
1260,McKee
1261,Lovitt
1262,Lovitt
1263,Cutey
1264,Dent
1265,McKee
1266,Power
1267,Wilson
1268,Kolln
1269,Walters
1270,Wilson
1271,Brown
1272,Mitchell
1273,McKee
1274,Riley
1275,Cholette
1276,Vernon
1277,Peterson
1278,Blankenship
1279,Hayes
1280,Neal
1281,Messick
1282,Ashbacher
1283,Chachra
1284,Shea
1285,Cholette
1286,Auken
1287,Hayes
1288,Shea
1289,Johnson
1290,Johnson
1291,Vernon
1292,Kolln
1293,Auken
1294,Brown
1295,McKee
1296,Taylor
1297,Cholette
1298,Mitchell
1299,Agresti
1300,Chandler
1301,Merritt
1302,Dent
1303,Comdet
1304,Wilson
1305,Blankenship
1306,Cholette
1307,Chell
1308,Kolln
1309,Kolln
1310,Blankenship
1311,Peterson
1312,Chell
1313,Grove
1314,Mark
1315,Lawyeraau
1316,Robert
1317,CFH
1318,McKee
1319,Messick
1320,Cutey
1321,Peterson
1322,Lawyeraau
1323,Messick
1324,Wilson
1325,Bukowsky
1326,Lawyeraau
1327,Cutey
1328,Agresti
1329,Chandler
1330,Auken
1331,Peterson
1332,Cutey
1333,Neal
1334,Johnson
1335,Hayes
1336,Goonan
1337,Kolln
1338,Comdet
1339,Ashbacher
1340,Chachra
1341,Nigam
1342,Vernon
1343,Auken
1344,Power
1345,Morrison
1346,Mahlers2nd
1347,Chandler
1348,Peterson
1349,Chell
1350,Calvinnme
1351,Agresti
1352,Goonan
1353,Taylor
1354,Bukowsky
1355,Chandler
1356,Mark
1357,Riley
1358,Shea
1359,Cutey
1360,Blankenship
1361,Agresti
1362,McKee
1363,Corn
1364,Merritt
1365,Ashbacher
1366,Cholette
1367,Mitchell
1368,Brody
1369,Vernon
1370,Mahlers2nd
1371,Cholette
1372,Peterson
1373,Engineer
1374,Mark
1375,Hayes
1376,Cutey
1377,Goonan
1378,Comdet
1379,Cutey
1380,Kolln
1381,Sherwin
1382,McKee
1383,CFH
1384,Cutey
1385,Lovitt
1386,Goonan
1387,Agresti
1388,Vision
1389,Chachra
1390,Chell
1391,Kolln
1392,Engineer
1393,Vision
1394,Morrison
1395,Chachra
1396,Corn
1397,Merritt
1398,Shea
1399,Morrison
1400,Lovitt
1401,Janson
1402,Cholette
1403,CFH
1404,Mark
1405,Grove
1406,Engineer
1407,Sherwin
1408,Dent
1409,Auken
1410,Goonan
1411,Lawyeraau
1412,McKee
1413,Dent
1414,Shea
1415,Janson
1416,Riley
1417,Peterson
1418,Engineer
1419,Dent
1420,Hayes
1421,Vernon
1422,Bukowsky
1423,Robert
1424,Chandler
1425,Davisson
1426,Dent
1427,Wilson
1428,McKee
1429,Robert
1430,Robert
1431,McKee
1432,Chell
1433,Kolln
1434,Power
1435,Agresti
1436,Sherwin
1437,Sherwin
1438,Corn
1439,Koenig
1440,CFH
1441,Davisson
1442,Comdet
1443,Johnson
1444,Comdet
1445,Bukowsky
1446,Bukowsky
1447,Cholette
1448,Brody
1449,Engineer
1450,Kolln
1451,Lovitt
1452,Calvinnme
1453,Johnson
1454,Nigam
1455,Bukowsky
1456,Sherwin
1457,Dent
1458,Johnson
1459,McKee
1460,Engineer
1461,Shea
1462,Nigam
1463,Walters
1464,Brown
1465,Riley
1466,Robert
1467,Davisson
1468,Cutey
1469,Kolln
1470,Lawyeraau
1471,Morrison
1472,Brown
1473,Ashbacher
1474,Calvinnme
1475,Merritt
1476,Johnson
1477,Nigam
1478,Brown
1479,Grove
1480,Ashbacher
1481,Engineer
1482,Dent
1483,Walters
1484,Vernon
1485,McKee
1486,Davisson
1487,Lee
1488,Johnson
1489,Comdet
1490,Calvinnme
1491,Goonan
1492,Janson
1493,Davisson
1494,Shea
1495,Corn
1496,Chachra
1497,Ashbacher
1498,Grove
1499,Ashbacher
